region,date,value
fid004,3/15/2020,2170610
fid004,4/8/2020,2418895
fid004,4/9/2020,2261251
fid004,3/14/2020,2418116
fid004,4/21/2020,1726358
fid004,3/28/2020,2278302
fid004,4/19/2020,1687117
fid004,4/25/2020,1894887
fid004,4/30/2020,1780880
fid004,4/24/2020,2019530
fid004,3/5/2020,2794783
fid004,4/18/2020,1957903
fid004,3/7/2020,2668428
fid004,3/13/2020,2489862
fid004,4/26/2020,1640992
fid004,4/27/2020,1943839
fid004,3/6/2020,2593144
fid005,4/16/2020,2205385
fid005,4/2/2020,2538042
fid005,3/23/2020,2444514
fid005,3/22/2020,2603150
fid005,4/3/2020,2560731
fid005,4/17/2020,1884821
fid005,4/1/2020,2597160
fid005,3/8/2020,2312621
fid005,4/15/2020,2078818
fid005,3/20/2020,2438258
fid005,4/29/2020,1782517
fid005,3/21/2020,2471922
fid005,4/28/2020,1858380
fid005,4/14/2020,2128061
fid005,3/9/2020,2175417
fid005,3/31/2020,2512976
fid005,3/25/2020,2441206
fid005,4/4/2020,2356340
fid005,4/10/2020,2530027
fid005,3/19/2020,2488907
fid005,4/11/2020,2626030
fid005,3/18/2020,2330133
fid005,4/5/2020,2364648
fid005,3/24/2020,2466490
fid005,3/30/2020,2470351
fid005,3/26/2020,2570893
fid005,4/13/2020,2121944
fid005,4/7/2020,2451397
fid005,4/6/2020,2447644
fid005,4/12/2020,2384711
fid005,3/27/2020,2319948
fid005,2/14/2020,2370184
fid005,5/9/2020,1860008
fid005,5/21/2020,2027902
fid005,2/28/2020,2218158
fid005,5/20/2020,2032366
fid005,2/29/2020,2338545
fid005,2/1/2020,2562854
fid005,5/8/2020,1814596
fid005,2/15/2020,2366069
fid005,2/3/2020,2172292
fid005,2/17/2020,1955004
fid005,5/22/2020,1934125
fid005,5/23/2020,1931125
fid005,2/2/2020,2266599
fid005,5/27/2020,1933379
fid005,2/6/2020,2248218
fid005,2/12/2020,2047999
fid005,2/13/2020,2108872
fid005,2/7/2020,2324380
fid005,5/26/2020,1891575
fid005,5/24/2020,1850835
fid005,5/30/2020,1974968
fid005,2/11/2020,2343116
fid005,5/18/2020,1812369
fid005,2/5/2020,2259298
fid005,2/10/2020,2193427
fid005,5/19/2020,1850616
fid005,5/31/2020,1947167
fid005,5/25/2020,1874906
fid005,2/21/2020,2036940
fid005,5/28/2020,2038320
fid005,2/9/2020,2199916
fid005,5/14/2020,1969390
fid005,5/15/2020,2012231
fid005,5/1/2020,1892811
fid005,2/8/2020,2325369
fid005,2/20/2020,2490161
fid005,5/29/2020,1864490
fid005,2/22/2020,2212642
fid005,5/17/2020,1928581
fid005,5/3/2020,1792513
fid005,5/2/2020,1760341
fid005,5/16/2020,2006850
fid005,2/23/2020,2006619
fid005,5/12/2020,1821984
fid005,5/6/2020,1920848
fid005,2/27/2020,2102321
fid005,2/26/2020,1983810
fid005,5/7/2020,1980728
fid005,5/13/2020,1925630
fid005,5/5/2020,1828296
fid005,5/11/2020,1715735
fid005,2/18/2020,2150379
fid005,2/24/2020,2096244
fid005,2/25/2020,2117416
fid005,5/10/2020,1974013
fid005,2/19/2020,2173002
fid005,5/4/2020,1771157
fid005,4/23/2020,1880784
fid005,3/2/2020,2088555
fid005,3/16/2020,2333221
fid005,3/17/2020,2574246
fid005,3/3/2020,2109305
fid005,4/22/2020,1830530
fid005,4/20/2020,2014115
fid005,3/29/2020,2362684
fid005,3/15/2020,2088564
fid005,4/8/2020,2443170
fid005,4/9/2020,2579918
fid005,3/14/2020,2436764
fid005,4/21/2020,1919099
fid005,3/28/2020,2482662
fid005,4/19/2020,1915268
fid005,4/25/2020,1930205
fid005,4/30/2020,1862855
fid005,4/24/2020,1927235
fid005,3/5/2020,2284404
fid005,4/18/2020,1932135
fid005,3/7/2020,2395946
fid005,3/13/2020,2250194
fid005,4/26/2020,1800533
fid005,4/27/2020,1711478
fid005,3/6/2020,2341354
fid006,4/16/2020,10562493
fid006,4/2/2020,12778147
fid006,3/23/2020,12900291
fid006,3/22/2020,12820027
fid006,4/3/2020,12776045
fid006,4/17/2020,9554764
fid006,4/1/2020,13817617
fid006,3/8/2020,11763580
fid006,4/15/2020,11877115
fid006,3/20/2020,13026192
fid006,4/29/2020,9109912
fid006,3/21/2020,12325778
fid006,4/28/2020,9712503
fid006,4/14/2020,11539532
fid006,3/9/2020,12380901
fid006,3/31/2020,12062000
fid006,3/25/2020,12221493
fid006,4/4/2020,11820641
fid006,4/10/2020,12750464
fid006,3/19/2020,12921309
fid006,4/11/2020,12242806
fid006,3/18/2020,13559034
fid006,4/5/2020,11458179
fid006,3/24/2020,12983908
fid006,3/30/2020,12724838
fid006,3/26/2020,13132945
fid006,4/13/2020,10878384
fid006,4/7/2020,12964552
fid006,4/6/2020,11756760
fid006,4/12/2020,12311746
fid006,3/27/2020,13453518
fid006,2/14/2020,14450879
fid006,5/9/2020,9827686
fid006,5/21/2020,8634225
fid006,2/28/2020,13595466
fid006,5/20/2020,9420651
fid006,2/29/2020,13957140
fid006,2/1/2020,13324536
fid006,5/8/2020,9885545
fid006,2/15/2020,13419984
fid006,2/3/2020,13457415
fid006,2/17/2020,12206972
fid006,5/22/2020,9338175
fid006,5/23/2020,8903579
fid006,2/2/2020,12280462
fid006,5/27/2020,9334920
fid006,2/6/2020,12023200
fid006,2/12/2020,11872680
fid006,2/13/2020,12736684
fid006,2/7/2020,13573704
fid006,5/26/2020,9600238
fid006,5/24/2020,9044140
fid006,5/30/2020,9297003
fid006,2/11/2020,13815793
fid006,5/18/2020,9215405
fid006,2/5/2020,13493272
fid006,2/10/2020,13203914
fid006,5/19/2020,8044055
fid006,5/31/2020,8612891
fid006,5/25/2020,8074262
fid006,2/21/2020,12291263
fid006,5/28/2020,8170082
fid006,2/9/2020,12332926
fid006,5/14/2020,9451442
fid006,5/15/2020,8983126
fid006,5/1/2020,8162107
fid006,2/8/2020,12406276
fid006,2/20/2020,20201032
fid006,5/29/2020,9348347
fid006,2/22/2020,13390697
fid006,5/17/2020,9175263
fid006,5/3/2020,9902125
fid006,5/2/2020,9224026
fid006,5/16/2020,9850901
fid006,2/23/2020,13787316
fid006,5/12/2020,8943231
fid006,5/6/2020,9633655
fid006,2/27/2020,13871106
fid006,2/26/2020,14163374
fid006,5/7/2020,10190565
fid006,5/13/2020,9347011
fid006,5/5/2020,11536100
fid006,5/11/2020,8807002
fid006,2/18/2020,13008159
fid006,2/24/2020,13286434
fid006,2/25/2020,12894038
fid006,5/10/2020,9695965
fid006,2/19/2020,12892326
fid006,5/4/2020,9831664
fid006,4/23/2020,10521155
fid006,3/2/2020,12271049
fid006,3/16/2020,13156422
fid006,3/17/2020,14076721
fid006,3/3/2020,13315353
fid006,4/22/2020,10669547
fid006,4/20/2020,10401724
fid006,3/29/2020,12126739
fid006,3/15/2020,11722505
fid006,4/8/2020,11736233
fid006,4/9/2020,13301861
fid006,3/14/2020,12918965
fid006,4/21/2020,10736425
fid006,3/28/2020,13020750
fid006,4/19/2020,10145708
fid006,4/25/2020,9841815
fid006,4/30/2020,10510932
fid006,4/24/2020,10143575
fid006,3/5/2020,14407183
fid006,4/18/2020,10531614
fid006,3/7/2020,13648484
fid006,3/13/2020,11011945
fid006,4/26/2020,9361248
fid006,4/27/2020,10234118
fid006,3/6/2020,11935178
fid007,4/16/2020,270406
fid007,4/2/2020,263885
fid007,3/23/2020,286397
fid007,3/22/2020,270877
fid007,4/3/2020,316911
fid007,4/17/2020,258237
fid007,4/1/2020,304516
fid007,3/8/2020,346343
fid007,4/15/2020,268166
fid007,3/20/2020,301173
fid007,4/29/2020,233569
fid007,3/21/2020,282426
fid007,4/28/2020,211955
fid007,4/14/2020,281180
fid007,3/9/2020,342409
fid007,3/31/2020,309679
fid007,3/25/2020,302764
fid007,4/4/2020,281406
fid007,4/10/2020,263780
fid007,3/19/2020,241707
fid007,4/11/2020,268051
fid007,3/18/2020,339543
fid007,4/5/2020,288507
fid007,3/24/2020,293396
fid007,3/30/2020,306818
fid007,3/26/2020,329298
fid007,4/13/2020,272357
fid007,4/7/2020,300865
fid007,4/6/2020,298685
fid007,4/12/2020,280126
fid007,3/27/2020,297514
fid007,2/14/2020,326163
fid007,5/9/2020,239403
fid007,5/21/2020,261135
fid007,2/28/2020,350243
fid007,5/20/2020,227470
fid007,2/29/2020,356372
fid007,2/1/2020,351578
fid007,5/8/2020,274611
fid007,2/15/2020,313565
fid007,2/3/2020,323764
fid007,2/17/2020,289232
fid007,5/22/2020,246906
fid007,5/23/2020,215983
fid007,2/2/2020,327670
fid007,5/27/2020,253218
fid007,2/6/2020,351000
